match_no,stage,match_group,home_team,away_team,match_time
1,Group,A,Mexico,South Africa,2026-06-11 21:00
2,Group,A,South Korea,Czechia,2026-06-12 04:00
3,Group,B,Canada,Bosnia-Herzegovina,2026-06-12 21:00
4,Group,D,USA,Paraguay,2026-06-13 03:00
5,Group,D,Australia,Turkey,2026-06-13 06:00
6,Group,B,Qatar,Switzerland,2026-06-13 21:00
7,Group,C,Brazil,Morocco,2026-06-14 00:00
8,Group,C,Haiti,Scotland,2026-06-14 03:00
9,Group,E,Germany,Curaçao,2026-06-14 19:00
10,Group,F,Netherlands,Japan,2026-06-14 22:00
11,Group,E,Ivory Coast,Ecuador,2026-06-15 01:00
12,Group,F,Sweden,Tunisia,2026-06-15 04:00
13,Group,H,Spain,Cape Verde,2026-06-15 18:00
14,Group,G,Belgium,Egypt,2026-06-15 21:00
15,Group,H,Saudi Arabia,Uruguay,2026-06-16 00:00
16,Group,G,Iran,New Zealand,2026-06-16 03:00
17,Group,I,France,Senegal,2026-06-16 21:00
18,Group,I,Iraq,Norway,2026-06-17 00:00
19,Group,J,Argentina,Algeria,2026-06-17 03:00
20,Group,J,Austria,Jordan,2026-06-17 06:00
21,Group,K,Portugal,Congo,2026-06-17 19:00
22,Group,L,England,Croatia,2026-06-17 22:00
23,Group,L,Ghana,Panama,2026-06-18 01:00
24,Group,K,Uzbekistan,Colombia,2026-06-18 04:00
25,Group,A,Czechia,South Africa,2026-06-18 18:00
26,Group,B,Switzerland,Bosnia-Herzegovina,2026-06-18 21:00
27,Group,B,Canada,Qatar,2026-06-19 00:00
28,Group,A,Mexico,South Korea,2026-06-19 03:00
29,Group,D,Turkey,Paraguay,2026-06-19 06:00
30,Group,D,USA,Australia,2026-06-19 21:00
31,Group,C,Scotland,Morocco,2026-06-20 00:00
32,Group,C,Brazil,Haiti,2026-06-20 03:00
33,Group,F,Tunisia,Japan,2026-06-20 06:00
34,Group,F,Netherlands,Sweden,2026-06-20 19:00
35,Group,E,Germany,Ivory Coast,2026-06-20 22:00
36,Group,E,Ecuador,Curaçao,2026-06-21 02:00
37,Group,H,Spain,Saudi Arabia,2026-06-21 18:00
38,Group,G,Belgium,Iran,2026-06-21 21:00
39,Group,H,Uruguay,Cape Verde,2026-06-22 00:00
40,Group,G,New Zealand,Egypt,2026-06-22 03:00
41,Group,J,Argentina,Austria,2026-06-22 19:00
42,Group,I,France,Iraq,2026-06-22 23:00
43,Group,I,Norway,Senegal,2026-06-23 02:00
44,Group,J,Jordan,Algeria,2026-06-23 05:00
45,Group,K,Portugal,Uzbekistan,2026-06-23 19:00
46,Group,L,England,Ghana,2026-06-23 22:00
47,Group,L,Panama,Croatia,2026-06-24 01:00
48,Group,K,Colombia,Congo,2026-06-24 04:00
49,Group,B,Switzerland,Canada,2026-06-24 21:00
50,Group,B,Bosnia-Herzegovina,Qatar,2026-06-24 21:00
51,Group,C,Scotland,Brazil,2026-06-25 00:00
52,Group,C,Morocco,Haiti,2026-06-25 00:00
53,Group,A,Czechia,Mexico,2026-06-25 03:00
54,Group,A,South Africa,South Korea,2026-06-25 03:00
55,Group,E,Curaçao,Ivory Coast,2026-06-25 22:00
56,Group,E,Ecuador,Germany,2026-06-25 22:00
57,Group,F,Japan,Sweden,2026-06-26 01:00
58,Group,F,Tunisia,Netherlands,2026-06-26 01:00
59,Group,D,Turkey,USA,2026-06-26 04:00
60,Group,D,Paraguay,Australia,2026-06-26 04:00
61,Group,I,Norway,France,2026-06-26 21:00
62,Group,I,Senegal,Iraq,2026-06-26 21:00
63,Group,H,Cape Verde,Saudi Arabia,2026-06-27 02:00
64,Group,H,Uruguay,Spain,2026-06-27 02:00
65,Group,G,Egypt,Iran,2026-06-27 05:00
66,Group,G,New Zealand,Belgium,2026-06-27 05:00
67,Group,L,Panama,England,2026-06-27 23:00
68,Group,L,Croatia,Ghana,2026-06-27 23:00
69,Group,K,Colombia,Portugal,2026-06-28 01:30
70,Group,K,Congo,Uzbekistan,2026-06-28 01:30
71,Group,J,Algeria,Austria,2026-06-28 04:00
72,Group,J,Jordan,Argentina,2026-06-28 04:00
73,R32,,2A,2B,2026-06-28 21:00
74,R32,,1C,2F,2026-06-29 19:00
75,R32,,1E,3A/B/C/D/F,2026-06-29 22:30
76,R32,,1F,2C,2026-06-30 03:00
77,R32,,1I,3C/D/F/G/H,2026-06-30 23:00
78,R32,,2E,2I,2026-06-30 19:00
79,R32,,1A,3C/E/F/H/I,2026-07-01 03:00
80,R32,,1L,3E/H/I/J/K,2026-07-01 18:00
81,R32,,1D,3B/E/F/I/J,2026-07-02 02:00
82,R32,,1G,3A/E/H/I/J,2026-07-01 22:00
83,R32,,2K,2L,2026-07-03 01:00
84,R32,,1H,2J,2026-07-02 21:00
85,R32,,1B,3E/F/G/I/J,2026-07-03 05:00
86,R32,,1J,2H,2026-07-04 00:00
87,R32,,1K,3D/E/I/J/L,2026-07-04 03:30
88,R32,,2D,2G,2026-07-03 20:00
89,R16,,174,177,2026-07-04 23:00
90,R16,,173,175,2026-07-04 19:00
91,R16,,176,178,2026-07-05 22:00
92,R16,,179,180,2026-07-06 02:00
93,R16,,183,184,2026-07-06 21:00
94,R16,,181,182,2026-07-07 02:00
95,R16,,186,188,2026-07-07 18:00
96,R16,,185,187,2026-07-07 22:00
97,QF,,189,190,2026-07-09 22:00
98,QF,,193,194,2026-07-10 21:00
99,QF,,191,192,2026-07-11 23:00
100,QF,,195,196,2026-07-12 03:00
101,SF,,197,198,2026-07-14 21:00
102,SF,,199,1100,2026-07-15 21:00
103,Final,,Loser SF101,Loser SF102,2026-07-18 23:00
104,Final,,Winner SF101,Winner SF102,2026-07-19 21:00
